pet_31626, 3380, 筷子, 吃飯
pet_31457, 3380, 筷子, 吃飯
pet_31057, 3380, 筷子, 吃飯
pet_4630, 3380, 筷子, 吃飯
pet_31386, 3380, 筷子, 吃飯
pet_30862, 3380, 筷子, 吃飯
pet_31177, 3380, 筷子, 吃飯
pet_29544, 3380, 筷子, 吃飯
pet_30721, 3380, 筷子, 吃飯
pet_30413, 3380, 筷子, 吃飯
pet_29544, 3380, 筷子, 吃飯
pet_3879, 3380, 筷子, 吃飯
pet_30296, 3380, 筷子, 吃飯
pet_30413, 3380, 筷子, 吃飯
pet_30372, 3380, 筷子, 吃飯
pet_29392, 3380, 筷子, 吃飯
pet_31675, 3360, 洗澡, 脫衣服
pet_31702, 3360, 洗澡, 脫衣服
pet_30066, 3360, 洗澡, 脫衣服
pet_31177, 3360, 洗澡, 脫衣服
pet_31386, 3360, 洗澡, 脫衣服
pet_31435, 3360, 洗澡, 脫衣服
pet_31130, 3360, 洗澡, 脫衣服
pet_12134, 3360, 洗澡, 脫衣服
pet_20446, 3360, 洗澡, 脫衣服
pet_248, 3360, 洗澡, 脫衣服
pet_31130, 3360, 洗澡, 脫衣服
pet_17950, 3360, 洗澡, 脫衣服
pet_31162, 3360, 洗澡, 脫衣服
pet_8740, 3360, 洗澡, 脫衣服
pet_30979, 3360, 洗澡, 脫衣服
pet_31648, 3380, 棉被, 睡覺
pet_4630, 3380, 棉被, 睡覺
pet_31339, 3380, 棉被, 睡覺
pet_31386, 3380, 棉被, 睡覺
pet_31359, 3380, 棉被, 睡覺
pet_31296, 3380, 棉被, 睡覺
pet_248, 3380, 棉被, 睡覺
pet_31296, 3380, 棉被, 睡覺
pet_31435, 3360, 吃飯, 洗手
pet_30205, 3360, 吃飯, 洗手
pet_31439, 3360, 吃飯, 洗手
pet_12134, 3360, 吃飯, 洗手
pet_31159, 3360, 吃飯, 洗手
pet_31435, 3353, 肚子餓, 吃飯
pet_31435, 3353, 肚子餓, 吃飯
pet_18003, 3353, 肚子餓, 吃飯
pet_29999, 3353, 肚子餓, 吃飯
pet_31512, 3353, 肚子餓, 吃飯
pet_31435, 3353, 肚子餓, 吃飯
pet_31130, 3353, 肚子餓, 吃飯
pet_31358, 3353, 肚子餓, 吃飯
pet_31358, 3353, 肚子餓, 吃飯
pet_30935, 3353, 肚子餓, 吃飯
pet_31130, 3353, 肚子餓, 吃飯
pet_31063, 3353, 肚子餓, 吃飯
pet_31130, 3353, 肚子餓, 吃飯
pet_20446, 3353, 肚子餓, 吃飯
pet_31168, 3353, 肚子餓, 吃飯
pet_30843, 3353, 肚子餓, 吃飯
pet_30828, 3353, 肚子餓, 吃飯
pet_30851, 3353, 肚子餓, 吃飯
pet_30493, 3353, 肚子餓, 吃飯
pet_29732, 3353, 肚子餓, 吃飯
pet_30614, 3353, 肚子餓, 吃飯
pet_30378, 3353, 肚子餓, 吃飯
pet_26472, 3353, 肚子餓, 吃飯
pet_30426, 3353, 肚子餓, 吃飯
pet_30379, 3353, 肚子餓, 吃飯
pet_31386, 3370, 蛋糕, 甜點
pet_31457, 3380, 碗, 吃飯
pet_31057, 3380, 碗, 吃飯
pet_31386, 3380, 碗, 吃飯
pet_30862, 3380, 碗, 吃飯
pet_31177, 3380, 碗, 吃飯
pet_31177, 3380, 碗, 吃飯
pet_29544, 3380, 碗, 吃飯
pet_30721, 3380, 碗, 吃飯
pet_29544, 3380, 碗, 吃飯
pet_30296, 3380, 碗, 吃飯
pet_30413, 3380, 碗, 吃飯
pet_29392, 3380, 碗, 吃飯
pet_8131, 3387, 工作, 錢
pet_31367, 3387, 工作, 錢
pet_31022, 3387, 工作, 錢
pet_5780, 3387, 工作, 錢
pet_15677, 3387, 工作, 錢
pet_22909, 3387, 工作, 錢
pet_7167, 3387, 工作, 錢
pet_31177, 3387, 工作, 錢
pet_20446, 3387, 工作, 錢
pet_30205, 3378, 老師, 學校
pet_31247, 3378, 老師, 學校
pet_31178, 3378, 老師, 學校
pet_31022, 3378, 老師, 學校
pet_27980, 3378, 老師, 學校
pet_30862, 3378, 老師, 學校
pet_30840, 3378, 老師, 學校
pet_30643, 3378, 老師, 學校
pet_30372, 3378, 老師, 學校
pet_30237, 3378, 老師, 學校
pet_18643, 3378, 老師, 學校
pet_30942, 3385, 吃飯, 肚子餓
pet_386, 3385, 吃飯, 肚子餓
pet_31439, 3385, 吃飯, 肚子餓
pet_31277, 3385, 吃飯, 肚子餓
pet_31448, 3385, 吃飯, 肚子餓
pet_30942, 3380, 湯匙, 喝湯
pet_31386, 3380, 湯匙, 喝湯
pet_31435, 3380, 湯匙, 喝湯
pet_31352, 3380, 湯匙, 喝湯
pet_3879, 3380, 湯匙, 喝湯
pet_30643, 3380, 湯匙, 喝湯
pet_25255, 3380, 湯匙, 喝湯
pet_30569, 3380, 湯匙, 喝湯
pet_30126, 3380, 湯匙, 喝湯
pet_29778, 3380, 湯匙, 喝湯
pet_27628, 3380, 湯匙, 喝湯
pet_31695, 3395, 學生, 考試
pet_31651, 3395, 學生, 考試
pet_31386, 3395, 學生, 考試
pet_31533, 3395, 學生, 考試
pet_31057, 3395, 學生, 考試
pet_31386, 3395, 學生, 考試
pet_31130, 3395, 學生, 考試
pet_31339, 3353, 天氣熱, 吃冰
pet_31554, 3353, 天氣熱, 吃冰
pet_18003, 3353, 天氣熱, 吃冰
pet_31435, 3353, 天氣熱, 吃冰
pet_31154, 3353, 天氣熱, 吃冰
pet_31159, 3353, 天氣熱, 吃冰
pet_20446, 3353, 天氣熱, 吃冰
pet_7167, 3353, 天氣熱, 吃冰
pet_248, 3353, 天氣熱, 吃冰
pet_30889, 3353, 天氣熱, 吃冰
pet_3879, 3353, 天氣熱, 吃冰
pet_29668, 3353, 天氣熱, 吃冰
pet_6537, 3353, 天氣熱, 吃冰
pet_31654, 3389, 睡覺, 累
pet_31386, 3389, 睡覺, 累
pet_31367, 3389, 睡覺, 累
