pet_16021, 3380, 枕頭, 睡覺
pet_15851, 3380, 枕頭, 睡覺
pet_7642, 3380, 枕頭, 睡覺
pet_14987, 3380, 枕頭, 睡覺
pet_15404, 3389, 吃飯, 肚子餓
pet_10276, 3389, 吃飯, 肚子餓
pet_11803, 3389, 吃飯, 肚子餓
pet_16109, 3360, 洗澡, 脫衣服
pet_4663, 3360, 洗澡, 脫衣服
pet_15669, 3360, 洗澡, 脫衣服
pet_15681, 3360, 洗澡, 脫衣服
pet_15722, 3380, 湯匙, 吃飯
pet_16116, 3380, 湯匙, 吃飯
pet_15722, 3380, 筷子, 吃飯
pet_16116, 3380, 筷子, 吃飯
pet_15851, 3380, 筷子, 吃飯
pet_16104, 3360, 吃飯, 洗手
pet_16033, 3360, 吃飯, 洗手
pet_16033, 3360, 吃飯, 洗手
pet_16041, 3360, 吃飯, 洗手
pet_16021, 3380, 棉被, 睡覺
pet_15851, 3380, 棉被, 睡覺
pet_14987, 3380, 棉被, 睡覺
pet_15722, 3380, 碗, 吃飯
pet_16116, 3380, 碗, 吃飯
pet_15851, 3380, 碗, 吃飯
pet_15856, 3387, 工作, 錢
pet_16084, 3353, 肚子餓, 吃飯
pet_15662, 3353, 肚子餓, 吃飯
pet_15881, 3353, 肚子餓, 吃飯
pet_15881, 3353, 肚子餓, 吃飯
pet_15914, 3353, 肚子餓, 吃飯
pet_14568, 3395, 學生, 考試
pet_15810, 3395, 學生, 考試
pet_15810, 3395, 學生, 考試
pet_16033, 3386, 工作, 賺錢
pet_5870, 3386, 工作, 賺錢
pet_15843, 3386, 工作, 賺錢
pet_864, 3386, 工作, 賺錢
pet_15785, 3378, 老師, 學校
pet_16033, 3389, 睡覺, 累
pet_16088, 3389, 睡覺, 累
pet_15722, 3389, 睡覺, 累
pet_15722, 3389, 睡覺, 累
pet_15678, 3389, 睡覺, 累
pet_15387, 3389, 睡覺, 累
pet_5949, 3389, 睡覺, 累
pet_16033, 3380, 沐浴乳, 洗澡
pet_15234, 3380, 湯匙, 喝湯
pet_15996, 3380, 湯匙, 喝湯
pet_15852, 3353, 天氣熱, 吃冰
pet_12730, 3353, 天氣熱, 吃冰
pet_16019, 3353, 天氣熱, 吃冰
pet_15851, 3380, 床, 睡覺
pet_15922, 3385, 吃飯, 肚子餓
pet_15980, 3385, 吃飯, 肚子餓
pet_15872, 3385, 吃飯, 肚子餓
pet_15785, 3378, 學生, 學校
pet_15881, 3380, 衛生紙, 上廁所
pet_15172, 3386, 睡覺, 休息
pet_16021, 3386, 睡覺, 休息
pet_15852, 3353, 天氣熱, 吹冷氣
pet_12730, 3353, 天氣熱, 吹冷氣
pet_15773, 3353, 天氣熱, 吹冷氣
pet_16019, 3353, 天氣熱, 吹冷氣
pet_15722, 3380, 衛生紙, 大便
pet_15898, 3380, 衛生紙, 大便
pet_15881, 3380, 衛生紙, 大便
pet_15773, 3380, 衛生紙, 大便
pet_15773, 3380, 衛生紙, 大便
pet_16045, 3370, 蘋果, 水果
pet_16094, 3393, 老鼠, 貓
pet_15974, 3393, 老鼠, 貓
pet_15841, 3393, 老鼠, 貓
pet_15706, 3378, 獅子, 動物園
pet_6856, 3378, 獅子, 動物園
pet_15985, 3385, 睡覺, 累了
pet_15829, 3378, 大象, 動物園
pet_15914, 3378, 大象, 動物園
pet_15843, 3378, 大象, 動物園
pet_16033, 3387, 努力工作, 錢
pet_16033, 3380, 水, 洗澡
pet_16138, 3389, 吃飯, 餓
pet_16125, 3389, 吃飯, 餓
pet_15759, 3389, 吃飯, 餓
pet_15145, 3389, 吃飯, 餓
pet_13789, 3389, 吃飯, 餓
pet_13789, 3389, 吃飯, 餓
pet_13603, 3389, 吃飯, 餓
pet_386, 3389, 吃飯, 餓
pet_16033, 3380, 洗髮精, 洗澡
pet_16033, 3415, 生日, 吃蛋糕
pet_15810, 3415, 生日, 吃蛋糕
pet_15662, 3353, 肚子餓, 吃東西
pet_15837, 3412, 睡覺, 打呼
pet_16033, 3380, 毛巾, 洗澡
pet_15962, 3366, 桌子, 木頭
pet_15851, 3366, 桌子, 木頭
pet_15946, 3366, 桌子, 木頭
pet_15829, 3378, 老虎, 動物園
pet_15706, 3378, 老虎, 動物園
pet_16058, 3378, 老虎, 動物園
pet_15843, 3378, 老虎, 動物園
pet_15974, 3370, 香蕉, 水果
pet_16045, 3370, 香蕉, 水果
pet_7642, 3380, 杯子, 喝水
pet_15872, 3380, 杯子, 喝水
pet_4206, 3360, 睡覺, 關燈
pet_15851, 3360, 睡覺, 關燈
pet_15974, 3370, 西瓜, 水果
